"subject" "measureName" "activityName" "measureValue"
"1" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.00306040735
"2" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.00635557646875
"3" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0166479534356452
"4" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.0155037568068519
"5" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0553647963480769
"6" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.032217035422807
"7" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0199228239403846
"8" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.0219448739555556
"9" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.021817851338
"10" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.0121815291103448
"11" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.00143538724210526
"12" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0232429679216667
"13" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.00324191442096774
"14" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0116599807576471
"15" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.0187121703680556
"16" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0259656101685714
"17" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0190444742957746
"18" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0285001830563077
"19" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0113723793
"20" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0201551673544118
"21" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0209488810833333
"22" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0484043605875
"23" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.008233394775
"24" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.00373768258055556
"25" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.203259965863014
"26" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.02649011025
"27" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.00947344800405405
"28" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.0392425155825
"29" "angletBodyAccJerkMeanGravityMean" "LAYING" -0.00848450109014493
"30" "angletBodyAccJerkMeanGravityMean" "LAYING" 0.0369006013185714
"1" "angletBodyAccMeanGravity" "LAYING" 0.0213659655642
"2" "angletBodyAccMeanGravity" "LAYING" 0.005791809625
"3" "angletBodyAccMeanGravity" "LAYING" 0.0178959376270161
"4" "angletBodyAccMeanGravity" "LAYING" -0.00235775253703703
"5" "angletBodyAccMeanGravity" "LAYING" 0.0212091926730769
"6" "angletBodyAccMeanGravity" "LAYING" 0.0049894390845614
"7" "angletBodyAccMeanGravity" "LAYING" 0.0364477050365385
"8" "angletBodyAccMeanGravity" "LAYING" -0.0244904310703704
"9" "angletBodyAccMeanGravity" "LAYING" 0.000991077232
"10" "angletBodyAccMeanGravity" "LAYING" -0.0238729803927759
"11" "angletBodyAccMeanGravity" "LAYING" 0.00275033849298246
"12" "angletBodyAccMeanGravity" "LAYING" 0.0042722982335
"13" "angletBodyAccMeanGravity" "LAYING" -0.000126342648387096
"14" "angletBodyAccMeanGravity" "LAYING" 0.017729670654902
"15" "angletBodyAccMeanGravity" "LAYING" 0.00415722316152778
"16" "angletBodyAccMeanGravity" "LAYING" 0.0539272789731429
"17" "angletBodyAccMeanGravity" "LAYING" 0.00777276090309859
"18" "angletBodyAccMeanGravity" "LAYING" 0.00780201507692308
"19" "angletBodyAccMeanGravity" "LAYING" -0.0211074851851807
"20" "angletBodyAccMeanGravity" "LAYING" 0.00103809244558823
"21" "angletBodyAccMeanGravity" "LAYING" 7.52968693333333e-05
"22" "angletBodyAccMeanGravity" "LAYING" 0.0276393547430556
"23" "angletBodyAccMeanGravity" "LAYING" 0.0157281639125
"24" "angletBodyAccMeanGravity" "LAYING" 0.0169966002519444
"25" "angletBodyAccMeanGravity" "LAYING" 0.0683084738424658
"26" "angletBodyAccMeanGravity" "LAYING" -4.19627976315778e-05
"27" "angletBodyAccMeanGravity" "LAYING" 0.0216426473783784
"28" "angletBodyAccMeanGravity" "LAYING" 0.03881748636
"29" "angletBodyAccMeanGravity" "LAYING" -0.0125185704144928
"30" "angletBodyAccMeanGravity" "LAYING" -0.0106131241642857
